name,coordinates,image
Киевская,55°44′39″ с. ш. 37°33′52″ в. д.HЯ,Kievskaya APL.jpg
Смоленская,55°44′51″ с. ш. 37°34′56″ в. д.HЯ,Metro MSK Line3 Smolenskaya (img2).jpg
Арбатская,55°45′08″ с. ш. 37°36′22″ в. д.HЯ,Metro MSK Line3 Arbatskaya (img1).jpg
Площадь Революции,55°45′24″ с. ш. 37°37′18″ в. д.HЯ,Ploshchad revolyutsii Metro 2010.jpg
Курская,55°45′27″ с. ш. 37°39′28″ в. д.HЯ,Курская-радиальная-05.jpg
Бауманская,55°46′23″ с. ш. 37°40′50″ в. д.HЯ,Metro MSK Line3 Baumanskaya.jpg
Электрозаводская,55°46′54″ с. ш. 37°42′13″ в. д.HЯ,Elektrozavodskaya st.JPG
Семёновская,55°47′00″ с. ш. 37°43′15″ в. д.HЯ,Семеновская 11.jpg
Партизанская,55°47′19″ с. ш. 37°45′02″ в. д.HЯ,Partizanskaya-mm.jpg
Измайловская,55°47′41″ с. ш. 37°47′57″ в. д.HЯ,Pervomaiskaya-mm.jpg
Щёлковская,55°48′34″ с. ш. 37°47′55″ в. д.HЯ,Shchelkovskaya-mm.jpg
Кунцевская,55°43′51″ с. ш. 37°26′45″ в. д.HЯ,Kuntsevskaya (Кунцевская) (5025409657).jpg
Пионерская,55°44′10″ с. ш. 37°28′02″ в. д.HЯ,Pionerskaya-mm.jpg
Филёвский парк,55°44′23″ с. ш. 37°29′00″ в. д.HЯ,Filpark-mm.jpg
Багратионовская,55°44′38″ с. ш. 37°29′52″ в. д.HЯ,Bagrat 05.jpg
Фили,55°44′46″ с. ш. 37°30′54″ в. д.HЯ,Fili-mm.jpg
Кутузовская,55°44′24″ с. ш. 37°32′04″ в. д.HЯ,Kutuzovskaya station renewed.jpg
Студенческая,55°44′20″ с. ш. 37°32′54″ в. д.HЯ,MosMetro Studencheskaya asv2018-01.jpg
Международная,55°44′54″ с. ш. 37°32′02″ в. д.HЯ,Mezhduarodnaya st.JPG
Выставочная,55°45′01″ с. ш. 37°32′27″ в. д.HЯ,Vystavochnaya station.jpg
Киевская,55°44′37″ с. ш. 37°33′56″ в. д.HЯ,Kievskaya STFL.JPG
Смоленская,55°44′56″ с. ш. 37°34′57″ в. д.HЯ,SmolenskayaFL-mm.jpg
Арбатская,55°45′06″ с. ш. 37°36′03″ в. д.HЯ,Metro MSK Line4 Arbatskaya (img1).jpg
Александровский сад,55°45′09″ с. ш. 37°36′31″ в. д.HЯ,Alsad-mm.jpg
Парк культуры,55°44′09″ с. ш. 37°35′29″ в. д.HЯ,Metro MSK Line5 Park Kultury.jpg
Октябрьская,55°43′47″ с. ш. 37°36′33″ в. д.HЯ,MoscowMetro OktyabrskayaKoltsevaya HF5.jpg
Добрынинская,55°43′45″ с. ш. 37°37′27″ в. д.HЯ,Добрынинская 3.jpg
Павелецкая,55°43′54″ с. ш. 37°38′16″ в. д.HЯ,Павелецкая КЛ 03.jpg
Таганская,55°44′30″ с. ш. 37°39′06″ в. д.HЯ,Таганская-кольцевая 06.jpg
Курская,55°45′25″ с. ш. 37°39′34″ в. д.HЯ,Курская-кольцевая-10.jpg
Комсомольская,55°46′29″ с. ш. 37°39′18″ в. д.HЯ,MosMetro KomsomolskayaKL img2 asv2018-01.jpg
Проспект Мира,55°46′47″ с. ш. 37°37′54″ в. д.HЯ,MoscowMetro ProspektMiraKoltsevaya HC3b.jpg
Новослободская,55°46′48″ с. ш. 37°36′10″ в. д.HЯ,Metro MSK Line5 Novoslobodskaya.jpg
Белорусская,55°46′35″ с. ш. 37°35′04″ в. д.HЯ,MoscowMetro BelorusskayaKoltsevaya HE2b.jpg
Краснопресненская,55°45′41″ с. ш. 37°34′39″ в. д.HЯ,MosMetro Krasnopresnenskaya asv2018-01.jpg
Киевская,55°44′41″ с. ш. 37°33′52″ в. д.HЯ,MoscowMetro KievskayaKoltsevaya HG4b.jpg
Медведково,55°53′14″ с. ш. 37°39′41″ в. д.HЯ,Medved Antares 01.jpg
Бабушкинская,55°52′10″ с. ш. 37°39′52″ в. д.HЯ,Babush Antares 01.jpg
Свиблово,55°51′19″ с. ш. 37°39′10″ в. д.HЯ,Sviblovo-mm.jpg
Ботанический сад,55°50′42″ с. ш. 37°38′18″ в. д.HЯ,Botsad-mm.jpg
ВДНХ,55°49′16″ с. ш. 37°38′28″ в. д.HЯ,MosMetro VDNKh 2011.jpg
Алексеевская,55°48′32″ с. ш. 37°38′20″ в. д.HЯ,Alexeevskaya-mm.jpg
Рижская,55°47′37″ с. ш. 37°38′10″ в. д.HЯ,Рижская 10.jpg
Проспект Мира,55°46′52″ с. ш. 37°37′54″ в. д.HЯ,Проспект Мира радиальная 01.jpg
Сухаревская,55°46′24″ с. ш. 37°37′55″ в. д.HЯ,Sukhar 02.jpg
